代号,名字,总斜率,最近一次斜率,第一次死叉,第二次死叉,第三次死叉
600577.SH,['精达股份'],大于0,大于0,20220526， DIF0轴以上,20220630， DIF0轴以上,20220804， DIF0轴以上
600905.SH,['三峡能源'],小于0,小于0,20220708， DIF0轴以上,20220715， DIF0轴以上,20220830， DIF0轴以上
300316.SZ,['晶盛机电'],大于0,大于0,20220701， DIF0轴以上,20220802， DIF0轴以上,20220826， DIF0轴以上
603360.SH,['百傲化学'],小于0,小于0,20220824， DIF0轴以上,20220831， DIF0轴以上,20220908， DIF0轴以上
600309.SH,['万华化学'],大于0,小于0,20220602， DIF0轴以上,20220705， DIF0轴以上,20220901， DIF0轴以上
300327.SZ,['中颖电子'],大于0,大于0,20220704， DIF0轴以下,20220711， DIF0轴以下,20220816， DIF0轴以上
600887.SH,['伊利股份'],大于0,小于0,20220801， DIF0轴以下,20220819， DIF0轴以下,20220901， DIF0轴以下
688363.SH,['华熙生物'],小于0,小于0,20220622， DIF0轴以上,20220802， DIF0轴以上,20220905， DIF0轴以下
002645.SZ,['华宏科技'],大于0,大于0,20220621， DIF0轴以上,20220804， DIF0轴以上,20220819， DIF0轴以上
605016.SH,['百龙创园'],小于0,大于0,20220609， DIF0轴以上,20220701， DIF0轴以下,20220822， DIF0轴以下
002407.SZ,['多氟多'],小于0,小于0,20220615， DIF0轴以上,20220711， DIF0轴以上,20220810， DIF0轴以下
600486.SH,['扬农化工'],小于0,大于0,20220615， DIF0轴以上,20220818， DIF0轴以下,20220907， DIF0轴以下
002960.SZ,['青鸟消防'],大于0,大于0,20220803， DIF0轴以上,20220812， DIF0轴以上,20220824， DIF0轴以上
301179.SZ,['泽宇智能'],大于0,小于0,20220616， DIF0轴以上,20220720， DIF0轴以上,20220825， DIF0轴以上
002709.SZ,['天赐材料'],大于0,小于0,20220516， DIF0轴以下,20220707， DIF0轴以上,20220819， DIF0轴以下
601899.SH,['紫金矿业'],大于0,大于0,20220803， DIF0轴以下,20220824， DIF0轴以上,20220830， DIF0轴以上
688234.SH,['天岳先进'],大于0,小于0,20220712， DIF0轴以上,20220811， DIF0轴以上,20220823， DIF0轴以上
603486.SH,['科沃斯'],小于0,小于0,20220622， DIF0轴以上,20220707， DIF0轴以上,20220824， DIF0轴以下
002991.SZ,['甘源食品'],小于0,小于0,20220708， DIF0轴以上,20220816， DIF0轴以下,20220901， DIF0轴以下
688268.SH,['华特气体'],大于0,大于0,20220614， DIF0轴以上,20220629， DIF0轴以上,20220816， DIF0轴以上
601888.SH,['中国中免'],小于0,小于0,20220706， DIF0轴以上,20220729， DIF0轴以上,20220902， DIF0轴以下
300620.SZ,['光库科技'],大于0,大于0,20220701， DIF0轴以上,20220713， DIF0轴以上,20220817， DIF0轴以上
002891.SZ,['中宠股份'],大于0,大于0,20220819， DIF0轴以上,20220825， DIF0轴以上,20220907， DIF0轴以上
000708.SZ,['中信特钢'],小于0,小于0,20220721， DIF0轴以上,20220725， DIF0轴以上,20220817， DIF0轴以上
603486.SH,['科沃斯'],小于0,小于0,20220622， DIF0轴以上,20220707， DIF0轴以上,20220824， DIF0轴以下
002216.SZ,['三全食品'],小于0,小于0,20220623， DIF0轴以下,20220712， DIF0轴以下,20220905， DIF0轴以下
300748.SZ,['金力永磁'],大于0,大于0,20220701， DIF0轴以上,20220712， DIF0轴以上,20220725， DIF0轴以上
002851.SZ,['麦格米特'],小于0,小于0,20220629， DIF0轴以上,20220725， DIF0轴以上,20220825， DIF0轴以下
300119.SZ,['瑞普生物'],大于0,大于0,20220707， DIF0轴以上,20220824， DIF0轴以上,20220909， DIF0轴以上
603444.SH,['吉比特'],大于0,小于0,20220523， DIF0轴以下,20220629， DIF0轴以上,20220729， DIF0轴以下
603185.SH,['上机数控'],小于0,大于0,20220712， DIF0轴以上,20220812， DIF0轴以上,20220822， DIF0轴以上
